tweet,sentiment,Sentiment,Confidence,score
Worst experience ever with my day.,negative,Negative,0.6100531220436096,-1
This ruined my day: the weather.,negative,Negative,0.6100531220436096,-1
This ruined my day: my workout.,negative,Negative,0.6100531220436096,-1
So खुश with this product!,positive,Positive,0.6599345803260803,1
I saw the movie yesterday.,neutral,Neutral,0.5062140822410583,0
Super happy with my phone!,positive,Positive,0.6599345803260803,1
This ruined my day: the feature.,negative,Negative,0.6100531220436096,-1
This the food is absolutely fantastic!,positive,Positive,0.6599345803260803,1
This ruined my day: my phone.,negative,Negative,0.6100531220436096,-1
I hate this the update.,negative,Negative,0.6100531220436096,-1
Completely useless the restaurant.,negative,Negative,0.6100531220436096,-1
this app was discussed in the meeting.,neutral,Neutral,0.5062140822410583,0
Trying out the weather.,neutral,Neutral,0.5062140822410583,0
I have the food.,neutral,Neutral,0.5062140822410583,0
This the experience is absolutely fantastic!,positive,Positive,0.6599345803260803,1
the restaurant was discussed in the meeting.,neutral,Neutral,0.5062140822410583,0
I love this this app!,positive,Positive,0.6599345803260803,1
Feeling amazing about the restaurant today!,positive,Positive,0.6599345803260803,1
So खुश with the website!,positive,Positive,0.6599345803260803,1
Trying out my day.,neutral,Neutral,0.5062140822410583,0
Planning to use the update.,neutral,Neutral,0.5062140822410583,0
Worst experience ever with this product.,negative,Negative,0.6100531220436096,-1
Feeling amazing about the feature today!,positive,Positive,0.6599345803260803,1
Completely useless the feature.,negative,Negative,0.6100531220436096,-1
Just checking the food.,neutral,Neutral,0.5062140822410583,0
Can't stop smiling because of the weather!,positive,Positive,0.6599345803260803,1
Highly recommend this place!,positive,Positive,0.6599345803260803,1
the website is part of my routine.,neutral,Neutral,0.5062140822410583,0
This ruined my day: the feature.,negative,Negative,0.6100531220436096,-1
this product is part of my routine.,neutral,Neutral,0.5062140822410583,0
my phone was discussed in the meeting.,neutral,Neutral,0.5062140822410583,0
Worst experience ever with this place.,negative,Negative,0.6100531220436096,-1
Never using my workout again.,negative,Negative,0.6100531220436096,-1
Information about the service.,neutral,Neutral,0.5062140822410583,0
Regret trying the experience.,negative,Negative,0.6100531220436096,-1
Completely useless the restaurant.,negative,Negative,0.6100531220436096,-1
This this product is so disappointing.,negative,Negative,0.6100531220436096,-1
I used the update today.,neutral,Neutral,0.5062140822410583,0
Planning to use this product.,neutral,Neutral,0.5062140822410583,0
Not happy with my day at all.,negative,Negative,0.6100531220436096,-1
Completely useless the food.,negative,Negative,0.6100531220436096,-1
This the feature is absolutely fantastic!,positive,Positive,0.6599345803260803,1
I saw the restaurant yesterday.,neutral,Neutral,0.5062140822410583,0
This ruined my day: the update.,negative,Negative,0.6100531220436096,-1
the update is available now.,neutral,Neutral,0.5062140822410583,0
Regret trying the movie.,negative,Negative,0.6100531220436096,-1
This the weather is absolutely fantastic!,positive,Positive,0.6599345803260803,1
Information about the update.,neutral,Neutral,0.5062140822410583,0
I hate this the food.,negative,Negative,0.6100531220436096,-1
I love this the experience!,positive,Positive,0.6599345803260803,1
This the restaurant is so disappointing.,negative,Negative,0.6100531220436096,-1
Planning to use the feature.,neutral,Neutral,0.5062140822410583,0
this app is part of my routine.,neutral,Neutral,0.5062140822410583,0
So frustrating dealing with this product.,negative,Negative,0.6100531220436096,-1
I hate this the restaurant.,negative,Negative,0.6100531220436096,-1
This the movie is so disappointing.,negative,Negative,0.6100531220436096,-1
Information about the website.,neutral,Neutral,0.5062140822410583,0
Worst experience ever with the update.,negative,Negative,0.6100531220436096,-1
I used the website today.,neutral,Neutral,0.5062140822410583,0
This made my day: this product!,positive,Positive,0.6599345803260803,1
I hate this the restaurant.,negative,Negative,0.6100531220436096,-1
Highly recommend the food!,positive,Positive,0.6599345803260803,1
Highly recommend the feature!,positive,Positive,0.6599345803260803,1
Trying out the food.,neutral,Neutral,0.5062140822410583,0
Never using this app again.,negative,Negative,0.6100531220436096,-1
So खुश with the movie!,positive,Positive,0.6599345803260803,1
This this product is so disappointing.,negative,Negative,0.6100531220436096,-1
I saw this app yesterday.,neutral,Neutral,0.5062140822410583,0
I hate this the update.,negative,Negative,0.6100531220436096,-1
Can't stop smiling because of my workout!,positive,Positive,0.6599345803260803,1
Best experience ever with this app!,positive,Positive,0.6599345803260803,1
Can't stop smiling because of the weather!,positive,Positive,0.6599345803260803,1
This this place is so disappointing.,negative,Negative,0.6100531220436096,-1
I have this product.,neutral,Neutral,0.5062140822410583,0
So खुश with the weather!,positive,Positive,0.6599345803260803,1
This ruined my day: this app.,negative,Negative,0.6100531220436096,-1
Never using the weather again.,negative,Negative,0.6100531220436096,-1
I used this product today.,neutral,Neutral,0.5062140822410583,0
"Totally worth it, the service is awesome!",positive,Positive,0.6599345803260803,1
Never using this place again.,negative,Negative,0.6100531220436096,-1
Completely useless the website.,negative,Negative,0.6100531220436096,-1
Regret trying the movie.,negative,Negative,0.6100531220436096,-1
Highly recommend the service!,positive,Positive,0.6599345803260803,1
Trying out the movie.,neutral,Neutral,0.5062140822410583,0
Worst experience ever with my workout.,negative,Negative,0.6100531220436096,-1
Planning to use the restaurant.,neutral,Neutral,0.5062140822410583,0
Planning to use the feature.,neutral,Neutral,0.5062140822410583,0
my phone was discussed in the meeting.,neutral,Neutral,0.5062140822410583,0
Feeling terrible about the service.,negative,Negative,0.6100531220436096,-1
Best experience ever with this app!,positive,Positive,0.6599345803260803,1
Regret trying the service.,negative,Negative,0.6100531220436096,-1
This this place is absolutely fantastic!,positive,Positive,0.6599345803260803,1
Can't stop smiling because of the website!,positive,Positive,0.6599345803260803,1
Super happy with the weather!,positive,Positive,0.6599345803260803,1
Best experience ever with my workout!,positive,Positive,0.6599345803260803,1
Feeling terrible about the website.,negative,Negative,0.6100531220436096,-1
Just checking my phone.,neutral,Neutral,0.5062140822410583,0
Information about the website.,neutral,Neutral,0.5062140822410583,0
Highly recommend this place!,positive,Positive,0.6599345803260803,1
Trying out the food.,neutral,Neutral,0.5062140822410583,0
my workout was discussed in the meeting.,neutral,Neutral,0.5062140822410583,0
the weather was discussed in the meeting.,neutral,Neutral,0.5062140822410583,0
So frustrating dealing with the experience.,negative,Negative,0.6100531220436096,-1
Not happy with the food at all.,negative,Negative,0.6100531220436096,-1
Super happy with the restaurant!,positive,Positive,0.6599345803260803,1
This ruined my day: this product.,negative,Negative,0.6100531220436096,-1
I love this my phone!,positive,Positive,0.6599345803260803,1
Highly recommend my day!,positive,Positive,0.6599345803260803,1
Planning to use this place.,neutral,Neutral,0.5062140822410583,0
So खुश with my workout!,positive,Positive,0.6599345803260803,1
Completely useless the update.,negative,Negative,0.6100531220436096,-1
the experience is part of my routine.,neutral,Neutral,0.5062140822410583,0
This the restaurant is so disappointing.,negative,Negative,0.6100531220436096,-1
the food is available now.,neutral,Neutral,0.5062140822410583,0
I love this the movie!,positive,Positive,0.6599345803260803,1
Information about this product.,neutral,Neutral,0.5062140822410583,0
Worst experience ever with my day.,negative,Negative,0.6100531220436096,-1
This ruined my day: the weather.,negative,Negative,0.6100531220436096,-1
This ruined my day: my day.,negative,Negative,0.6100531220436096,-1
I love this the website!,positive,Positive,0.6599345803260803,1
So frustrating dealing with the experience.,negative,Negative,0.6100531220436096,-1
Regret trying the service.,negative,Negative,0.6100531220436096,-1
the feature is part of my routine.,neutral,Neutral,0.5062140822410583,0
This this product is so disappointing.,negative,Negative,0.6100531220436096,-1
this app was discussed in the meeting.,neutral,Neutral,0.5062140822410583,0
I hate this the movie.,negative,Negative,0.6100531220436096,-1
Worst experience ever with my day.,negative,Negative,0.6100531220436096,-1
Not happy with my phone at all.,negative,Negative,0.6100531220436096,-1
This this place is so disappointing.,negative,Negative,0.6100531220436096,-1
Feeling terrible about the movie.,negative,Negative,0.6100531220436096,-1
Highly recommend my workout!,positive,Positive,0.6599345803260803,1
I saw the update yesterday.,neutral,Neutral,0.5062140822410583,0
Highly recommend the update!,positive,Positive,0.6599345803260803,1
Not happy with the restaurant at all.,negative,Negative,0.6100531220436096,-1
Not happy with this place at all.,negative,Negative,0.6100531220436096,-1
Can't stop smiling because of this product!,positive,Positive,0.6599345803260803,1
I love this this app!,positive,Positive,0.6599345803260803,1
Super happy with the restaurant!,positive,Positive,0.6599345803260803,1
my day is available now.,neutral,Neutral,0.5062140822410583,0
the experience was discussed in the meeting.,neutral,Neutral,0.5062140822410583,0
Feeling terrible about the update.,negative,Negative,0.6100531220436096,-1
Just checking the movie.,neutral,Neutral,0.5062140822410583,0
This ruined my day: the update.,negative,Negative,0.6100531220436096,-1
Highly recommend my phone!,positive,Positive,0.6599345803260803,1
"Totally worth it, the movie is awesome!",positive,Positive,0.6599345803260803,1
the website was discussed in the meeting.,neutral,Neutral,0.5062140822410583,0
Feeling terrible about the weather.,negative,Negative,0.6100531220436096,-1
Trying out the website.,neutral,Neutral,0.5062140822410583,0
Never using this product again.,negative,Negative,0.6100531220436096,-1
Feeling amazing about the feature today!,positive,Positive,0.6599345803260803,1
the service is part of my routine.,neutral,Neutral,0.5062140822410583,0
the restaurant is part of my routine.,neutral,Neutral,0.5062140822410583,0
Feeling amazing about my phone today!,positive,Positive,0.6599345803260803,1
Worst experience ever with my phone.,negative,Negative,0.6100531220436096,-1
Completely useless the website.,negative,Negative,0.6100531220436096,-1
I love this the movie!,positive,Positive,0.6599345803260803,1
I used the service today.,neutral,Neutral,0.5062140822410583,0
This ruined my day: the feature.,negative,Negative,0.6100531220436096,-1
the food is part of my routine.,neutral,Neutral,0.5062140822410583,0
Information about this app.,neutral,Neutral,0.5062140822410583,0
Worst experience ever with my phone.,negative,Negative,0.6100531220436096,-1
Regret trying the weather.,negative,Negative,0.6100531220436096,-1
"Totally worth it, the service is awesome!",positive,Positive,0.6599345803260803,1
the feature is available now.,neutral,Neutral,0.5062140822410583,0
Super happy with my workout!,positive,Positive,0.6599345803260803,1
Just checking the movie.,neutral,Neutral,0.5062140822410583,0
Worst experience ever with the food.,negative,Negative,0.6100531220436096,-1
this place was discussed in the meeting.,neutral,Neutral,0.5062140822410583,0
This my workout is so disappointing.,negative,Negative,0.6100531220436096,-1
Highly recommend this place!,positive,Positive,0.6599345803260803,1
Can't stop smiling because of the movie!,positive,Positive,0.6599345803260803,1
I used the restaurant today.,neutral,Neutral,0.5062140822410583,0
So खुश with my day!,positive,Positive,0.6599345803260803,1
Feeling terrible about the update.,negative,Negative,0.6100531220436096,-1
Highly recommend the update!,positive,Positive,0.6599345803260803,1
This the restaurant is absolutely fantastic!,positive,Positive,0.6599345803260803,1
my day is available now.,neutral,Neutral,0.5062140822410583,0
the movie is available now.,neutral,Neutral,0.5062140822410583,0
